date,day_week,close,open,high,low,adj_close,var_day,volume
1980-11-17,1,137.75,0.0,138.46,134.9,137.75,0.44,50260000
1980-11-18,2,139.7,0.0,140.92,137.91,139.7,1.4,70380000
1980-11-19,3,139.06,0.0,141.76,138.06,139.06,-0.46,69230000
1980-11-20,4,140.4,0.0,141.24,137.79,140.4,0.95,60180000
1980-11-21,5,139.11,0.0,141.24,138.1,139.11,-0.93,55950000
1980-11-24,1,138.31,0.0,139.36,136.36,138.31,-0.58,51120000
1980-11-25,2,139.33,0.0,140.83,137.42,139.33,0.73,55840000
1980-11-26,3,140.17,0.0,141.96,138.6,140.17,0.6,55340000
1980-11-28,5,140.52,0.0,141.54,139.0,140.52,0.25,34240000
1980-12-01,1,137.21,0.0,140.66,136.75,137.21,-2.41,48180000
1980-12-02,2,136.97,0.0,138.11,134.37,136.97,-0.18,52340000
1980-12-03,3,136.71,0.0,138.09,135.43,136.71,-0.19,43430000
1980-12-04,4,136.48,0.0,138.4,135.09,136.48,-0.17,51170000
1980-12-05,5,134.03,0.0,136.37,132.91,134.03,-1.83,51990000
1980-12-08,1,130.61,0.0,133.19,129.71,130.61,-2.62,53390000
1980-12-09,2,130.48,0.0,131.92,128.77,130.48,-0.1,53220000
1980-12-10,3,128.26,0.0,131.99,127.94,128.26,-1.73,49860000
1980-12-11,4,127.36,0.0,128.73,125.32,127.36,-0.71,60220000
1980-12-12,5,129.23,0.0,129.98,127.15,129.23,1.45,39530000
1980-12-15,1,129.45,0.0,131.33,128.64,129.45,0.17,39700000
1980-12-16,2,130.6,0.0,131.22,128.33,130.6,0.88,41630000
1980-12-17,3,132.89,0.0,133.59,130.22,132.89,1.72,50800000
1980-12-18,4,133.0,0.0,135.9,131.89,133.0,0.08,69570000
1980-12-19,5,133.7,0.0,134.0,131.8,133.7,0.52,50770000
1980-12-22,1,135.78,0.0,136.68,132.88,135.78,1.53,51950000
1980-12-23,2,135.3,0.0,137.48,134.01,135.3,-0.35,55260000
1980-12-24,3,135.88,0.0,136.55,134.15,135.88,0.43,29490000
1980-12-26,5,136.57,0.0,137.02,135.2,136.57,0.51,16130000
1980-12-29,1,135.03,0.0,137.51,134.36,135.03,-1.14,36060000
1980-12-30,2,135.33,0.0,136.51,134.04,135.33,0.22,39750000
1980-12-31,3,135.76,0.0,136.76,134.29,135.76,0.32,41210000
1981-01-02,5,136.34,0.0,137.1,134.61,136.34,0.43,28870000
1981-01-05,1,137.97,0.0,139.24,135.86,137.97,1.18,58710000
1981-01-06,2,138.12,0.0,140.32,135.78,138.12,0.11,67400000
1981-01-07,3,135.08,0.0,136.02,132.3,135.08,-2.25,92890000
1981-01-08,4,133.06,0.0,136.1,131.96,133.06,-1.52,55350000
1981-01-09,5,133.48,0.0,134.76,131.71,133.48,0.31,50190000
1981-01-12,1,133.52,0.0,135.88,132.79,133.52,0.03,48760000
1981-01-13,2,133.29,0.0,134.27,131.69,133.29,-0.17,40890000
1981-01-14,3,133.47,0.0,135.25,132.65,133.47,0.13,41390000
1981-01-15,4,134.22,0.0,135.15,132.44,134.22,0.56,39640000
1981-01-16,5,134.77,0.0,135.91,133.35,134.77,0.41,43260000
1981-01-19,1,134.37,0.0,135.86,133.51,134.37,-0.3,36470000
1981-01-20,2,131.65,0.0,135.3,131.26,131.65,-2.07,41750000
1981-01-21,3,131.36,0.0,132.48,129.93,131.36,-0.22,39190000
1981-01-22,4,130.26,0.0,132.08,129.23,130.26,-0.84,39880000
1981-01-23,5,130.23,0.0,131.34,129.0,130.23,-0.02,37220000
1981-01-26,1,129.84,0.0,131.18,128.57,129.84,-0.3,35380000
1981-01-27,2,131.12,0.0,131.95,129.32,131.12,0.98,42260000
1981-01-28,3,130.34,0.0,132.41,129.82,130.34,-0.6,36690000
1981-01-29,4,130.24,0.0,131.78,128.97,130.24,-0.08,38170000
1981-01-30,5,129.55,0.0,131.65,128.61,129.55,-0.53,41160000
1981-02-02,1,126.91,0.0,129.48,125.82,126.91,-2.08,44070000
1981-02-03,2,128.46,0.0,128.92,125.89,128.46,1.21,45950000
1981-02-04,3,128.59,0.0,129.71,127.29,128.59,0.1,45520000
1981-02-05,4,129.63,0.0,130.49,127.99,129.63,0.8,45320000
1981-02-06,5,130.6,0.0,131.81,129.03,130.6,0.74,45820000
1981-02-09,1,129.27,0.0,131.39,128.61,129.27,-1.03,38330000
1981-02-10,2,129.24,0.0,130.19,128.05,129.24,-0.02,40820000
1981-02-11,3,128.24,0.0,129.92,127.6,128.24,-0.78,37770000
1981-02-12,4,127.48,0.0,128.95,126.78,127.48,-0.6,34700000
1981-02-13,5,126.98,0.0,128.34,126.04,126.98,-0.39,33360000
1981-02-17,2,127.81,0.0,128.75,126.43,127.81,0.65,37940000
1981-02-18,3,128.48,0.0,129.25,127.09,128.48,0.52,40410000
1981-02-19,4,126.61,0.0,129.07,125.98,126.61,-1.48,41630000
1981-02-20,5,126.58,0.0,127.65,124.66,126.58,-0.02,41900000
1981-02-23,1,127.35,0.0,128.28,125.69,127.35,0.6,39590000
1981-02-24,2,127.39,0.0,128.76,126.49,127.39,0.03,43960000
1981-02-25,3,128.52,0.0,129.21,125.77,128.52,0.88,45710000
1981-02-26,4,130.1,0.0,130.93,128.02,130.1,1.21,60300000
1981-02-27,5,131.27,0.0,132.02,129.35,131.27,0.89,53210000
1981-03-02,1,132.01,0.0,132.96,130.15,132.01,0.56,47710000
1981-03-03,2,130.56,0.0,132.72,129.66,130.56,-1.11,48730000
1981-03-04,3,130.86,0.0,132.07,129.57,130.86,0.23,47260000
1981-03-05,4,129.93,0.0,131.82,129.25,129.93,-0.72,45380000
1981-03-06,5,129.85,0.0,131.18,128.56,129.85,-0.06,43940000
1981-03-09,1,131.12,0.0,131.94,129.39,131.12,0.97,46180000
1981-03-10,2,130.46,0.0,132.64,129.72,130.46,-0.51,56610000
1981-03-11,3,129.95,0.0,131.2,128.72,129.95,-0.39,47390000
1981-03-12,4,133.19,0.0,133.56,129.76,133.19,2.43,54640000
1981-03-13,5,133.11,0.0,135.53,132.39,133.11,-0.06,68290000
1981-03-16,1,134.68,0.0,135.35,132.1,134.68,1.17,49940000
1981-03-17,2,133.92,0.0,136.09,132.8,133.92,-0.57,65920000
1981-03-18,3,134.22,0.0,135.66,132.8,134.22,0.22,55740000
1981-03-19,4,133.46,0.0,135.37,132.37,133.46,-0.57,62440000
1981-03-20,5,134.08,0.0,135.29,132.5,134.08,0.46,61980000
1981-03-23,1,135.69,0.0,136.5,133.41,135.69,1.19,57880000
1981-03-24,2,134.67,0.0,137.4,134.1,134.67,-0.76,66400000
1981-03-25,3,137.11,0.0,137.32,133.92,137.11,1.78,56320000
1981-03-26,4,136.27,0.0,138.38,135.29,136.27,-0.62,60370000
1981-03-27,5,134.65,0.0,136.89,133.91,134.65,-1.2,46930000
1981-03-30,1,134.28,0.0,135.87,133.51,134.28,-0.28,33500000
1981-03-31,2,136.0,0.0,137.15,134.68,136.0,1.26,50980000
1981-04-01,3,136.57,0.0,137.56,135.04,136.57,0.42,54880000
1981-04-02,4,136.32,0.0,137.72,135.16,136.32,-0.18,52570000
1981-04-03,5,135.49,0.0,137.04,134.67,135.49,-0.61,48680000
